t,p,Np,Gp,Bg,Bo,Rs,Rv,z
0,3700,0,0,0.87,10.058,11560.7,86.5,0.93176
0.5,3650,28600,0.34,0.88,2.417,2378,81.5,0.92942
1,3400,93000,1.2,0.91,2.192,2010,70.5,0.91858
1.5,3100,231000,3.3,0.99,1.916,1569,56.2,0.90792
2,2800,270000,4.3,1.08,1.736,1272,46.5,0.90013
2.5,2500,379000,6.6,1.201,1.617,1067,39.5,0.89566
3,2200,481000,9.1,1.35,1.504,873,33.8,0.89485
3.5,1900,517200,10.5,1.56,1.416,719,29.9,0.89796
4,1600,549000,12,1.85,1.326,565,27.3,0.90507
4.5,1300,580000,12.8,2.28,1.268,461,25.5,0.91611
5,1000,675000,16.4,2.95,1.205,349,25.9,0.93076
5.5,700,755000,19.1,4.09,1.149,249,28.3,0.94864
6,600,803000,20.5,4.68,1.131,218,29.8,0.95523
